날짜,발전기명,설비용량(MW),일발전량(Wh)
2021-01-01,광양항어울림태양광,0.656,624000
2021-01-02,광양항어울림태양광,0.656,825120
2021-01-03,광양항어울림태양광,0.656,668640
2021-01-04,광양항어울림태양광,0.656,783840
2021-01-05,광양항어울림태양광,0.656,421920
2021-01-06,광양항어울림태양광,0.656,781440
2021-01-07,광양항어울림태양광,0.656,915360
2021-01-08,광양항어울림태양광,0.656,970560
2021-01-09,광양항어울림태양광,0.656,1486080
2021-01-10,광양항어울림태양광,0.656,2051040
2021-01-11,광양항어울림태양광,0.656,1082880
2021-01-12,광양항어울림태양광,0.656,1528800
2021-01-13,광양항어울림태양광,0.656,1987200
2021-01-14,광양항어울림태양광,0.656,2120160
2021-01-15,광양항어울림태양광,0.656,1745280
2021-01-16,광양항어울림태양광,0.656,2402400
2021-01-17,광양항어울림태양광,0.656,2648160
2021-01-18,광양항어울림태양광,0.656,1374720
2021-01-19,광양항어울림태양광,0.656,2532000
2021-01-20,광양항어울림태양광,0.656,890400
2021-01-21,광양항어울림태양광,0.656,1068960
2021-01-22,광양항어울림태양광,0.656,520800
2021-01-23,광양항어울림태양광,0.656,444960
2021-01-24,광양항어울림태양광,0.656,2218560
2021-01-25,광양항어울림태양광,0.656,2448000
2021-01-26,광양항어울림태양광,0.656,444960
2021-01-27,광양항어울림태양광,0.656,2235840
2021-01-28,광양항어울림태양광,0.656,1879200
2021-01-29,광양항어울림태양광,0.656,2823360
2021-01-30,광양항어울림태양광,0.656,2002080
2021-01-31,광양항어울림태양광,0.656,1982880
2021-02-01,광양항어울림태양광,0.656,415680
2021-02-02,광양항어울림태양광,0.656,3040320
2021-02-03,광양항어울림태양광,0.656,2915520
2021-02-04,광양항어울림태양광,0.656,2958720
2021-02-05,광양항어울림태양광,0.656,1660800
2021-02-06,광양항어울림태양광,0.656,2446560
2021-02-07,광양항어울림태양광,0.656,2466720
2021-02-08,광양항어울림태양광,0.656,3028320
2021-02-09,광양항어울림태양광,0.656,3007680
2021-02-10,광양항어울림태양광,0.656,2709600
2021-02-11,광양항어울림태양광,0.656,1524480
2021-02-12,광양항어울림태양광,0.656,2383200
2021-02-13,광양항어울림태양광,0.656,2614080
2021-02-14,광양항어울림태양광,0.656,1116480
2021-02-15,광양항어울림태양광,0.656,1941600
2021-02-16,광양항어울림태양광,0.656,2851200
2021-02-17,광양항어울림태양광,0.656,2252640
2021-02-18,광양항어울림태양광,0.656,2797920
2021-02-19,광양항어울림태양광,0.656,3273600
2021-02-20,광양항어울림태양광,0.656,2735520
2021-02-21,광양항어울림태양광,0.656,3012960
2021-02-22,광양항어울림태양광,0.656,2763360
2021-02-23,광양항어울림태양광,0.656,2662560
2021-02-24,광양항어울림태양광,0.656,1513920
2021-02-25,광양항어울림태양광,0.656,477600
2021-02-26,광양항어울림태양광,0.656,2386560
2021-02-27,광양항어울림태양광,0.656,2559360
2021-02-28,광양항어울림태양광,0.656,1233600
2021-03-01,광양항어울림태양광,0.656,236160
2021-03-02,광양항어울림태양광,0.656,3148320
2021-03-03,광양항어울림태양광,0.656,3195360
2021-03-04,광양항어울림태양광,0.656,453120
2021-03-05,광양항어울림태양광,0.656,3257760
2021-03-06,광양항어울림태양광,0.656,2340480
2021-03-07,광양항어울림태양광,0.656,2487840
2021-03-08,광양항어울림태양광,0.656,3269280
2021-03-09,광양항어울림태양광,0.656,2957760
2021-03-10,광양항어울림태양광,0.656,3336960
2021-03-11,광양항어울림태양광,0.656,2640480
2021-03-12,광양항어울림태양광,0.656,408960
2021-03-13,광양항어울림태양광,0.656,3404640
2021-03-14,광양항어울림태양광,0.656,3475200
2021-03-15,광양항어울림태양광,0.656,2655840
2021-03-16,광양항어울림태양광,0.656,3480960
2021-03-17,광양항어울림태양광,0.656,3319200
2021-03-18,광양항어울림태양광,0.656,3525600
2021-03-19,광양항어울림태양광,0.656,3172800
2021-03-20,광양항어울림태양광,0.656,461280
2021-03-21,광양항어울림태양광,0.656,3124800
2021-03-22,광양항어울림태양광,0.656,4064640
2021-03-23,광양항어울림태양광,0.656,3660480
2021-03-24,광양항어울림태양광,0.656,2568480
2021-03-25,광양항어울림태양광,0.656,3738720
2021-03-26,광양항어울림태양광,0.656,3376320
2021-03-27,광양항어울림태양광,0.656,511200
2021-03-28,광양항어울림태양광,0.656,3293280
2021-03-29,광양항어울림태양광,0.656,3062880
2021-03-30,광양항어울림태양광,0.656,3172800
2021-03-31,광양항어울림태양광,0.656,3424800
2021-04-01,광양항어울림태양광,0.656,2108160
2021-04-02,광양항어울림태양광,0.656,2511840
2021-04-03,광양항어울림태양광,0.656,377280
2021-04-04,광양항어울림태양광,0.656,576960
2021-04-05,광양항어울림태양광,0.656,4221120
2021-04-06,광양항어울림태양광,0.656,3264000
2021-04-07,광양항어울림태양광,0.656,3947040
2021-04-08,광양항어울림태양광,0.656,3896640
2021-04-09,광양항어울림태양광,0.656,3560160
2021-04-10,광양항어울림태양광,0.656,3756960
2021-04-11,광양항어울림태양광,0.656,4013280
2021-04-12,광양항어울림태양광,0.656,598080
2021-04-13,광양항어울림태양광,0.656,3228960
2021-04-14,광양항어울림태양광,0.656,3983520
2021-04-15,광양항어울림태양광,0.656,3361440
2021-04-16,광양항어울림태양광,0.656,3262560
2021-04-17,광양항어울림태양광,0.656,4029120
2021-04-18,광양항어울림태양광,0.656,4393440
2021-04-19,광양항어울림태양광,0.656,4353120
2021-04-20,광양항어울림태양광,0.656,3951360
2021-04-21,광양항어울림태양광,0.656,3324960
2021-04-22,광양항어울림태양광,0.656,1414560
2021-04-23,광양항어울림태양광,0.656,3125280
2021-04-24,광양항어울림태양광,0.656,4026720
2021-04-25,광양항어울림태양광,0.656,3696480
2021-04-26,광양항어울림태양광,0.656,4080480
2021-04-27,광양항어울림태양광,0.656,1943520
2021-04-28,광양항어울림태양광,0.656,3625920
2021-04-29,광양항어울림태양광,0.656,3504960
2021-04-30,광양항어울림태양광,0.656,4319040
2021-05-01,광양항어울림태양광,0.656,2450880
2021-05-02,광양항어울림태양광,0.656,4260000
2021-05-03,광양항어울림태양광,0.656,4324800
2021-05-04,광양항어울림태양광,0.656,551040
2021-05-05,광양항어울림태양광,0.656,4456800
2021-05-06,광양항어울림태양광,0.656,3137760
2021-05-07,광양항어울림태양광,0.656,3247200
2021-05-08,광양항어울림태양광,0.656,4148160
2021-05-09,광양항어울림태양광,0.656,4327200
2021-05-10,광양항어울림태양광,0.656,2450880
2021-05-11,광양항어울림태양광,0.656,1573440
2021-05-12,광양항어울림태양광,0.656,3492480
2021-05-13,광양항어울림태양광,0.656,4177440
2021-05-14,광양항어울림태양광,0.656,3274560
2021-05-15,광양항어울림태양광,0.656,898080
2021-05-16,광양항어울림태양광,0.656,441600
2021-05-17,광양항어울림태양광,0.656,1591200
2021-05-18,광양항어울림태양광,0.656,3217440
2021-05-19,광양항어울림태양광,0.656,3936480
2021-05-20,광양항어울림태양광,0.656,822240
2021-05-21,광양항어울림태양광,0.656,3286080
2021-05-22,광양항어울림태양광,0.656,4379520
2021-05-23,광양항어울림태양광,0.656,3854880
2021-05-24,광양항어울림태양광,0.656,3270240
2021-05-25,광양항어울림태양광,0.656,3719520
2021-05-26,광양항어울림태양광,0.656,2242080
2021-05-27,광양항어울림태양광,0.656,2076000
2021-05-28,광양항어울림태양광,0.656,3024480
2021-05-29,광양항어울림태양광,0.656,4270080
2021-05-30,광양항어울림태양광,0.656,4157760
2021-05-31,광양항어울림태양광,0.656,4020480
